,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
86,0,,,,,,,,,,,,,,,,,,,,
87,0,,,,,,,,,,,,,,,,,,,,
88,0,,,,,,,,,,,,,,,,,,,,
89,0,,,,,,,,,,,,,,,,,,,,
90,0,,,,,,,,,,,,,,,,,,,,
91,0,,,,,,,,,,,,,,,,,,,,
92,0,,,,,,,,,,,,,,,,,,,,
93,0,,,,,,,,,,,,,,,,,,,,
94,0,,,,,,,,,,,,,,,,,,,,
95,0,,,,,,,,,,,,,,,,,,,,
96,0,,,,,,,,,,,,,,,,,,,,
97,0,7.1860902309417725,7.7465596199035645,8.074259519577026,8.600751638412476,10.032264709472656,18.376555919647217,19.378084897994995,23.769431591033936,27.531403303146362,28.561931610107422,31.23296070098877,33.400838136672974,33.76116585731506,34.24803566932678,41.962936878204346,42.577685594558716,44.593135595321655,46.97084355354309,51.704712867736816,
98,0,13.40226936340332,19.585219383239746,31.688955307006836,48.303688287734985,,,,,,,,,,,,,,,,
99,0,31.12848711013794,41.80832290649414,46.665995597839355,52.10419487953186,,,,,,,,,,,,,,,,
100,0,24.392409801483154,,,,,,,,,,,,,,,,,,,
101,0,10.96824312210083,11.731412410736084,12.306588888168335,14.176169395446777,15.202452182769775,15.67996096611023,16.7364342212677,16.992685556411743,19.68234658241272,24.704545497894287,27.369479656219482,31.783900022506714,37.354363679885864,42.817559242248535,45.41036915779114,45.721644163131714,46.03307032585144,48.71436262130737,,
102,0,51.592777729034424,52.85057830810547,,,,,,,,,,,,,,,,,,
103,0,8.29596757888794,13.520885229110718,17.480329036712646,33.947211027145386,45.25057625770569,,,,,,,,,,,,,,,
104,0,6.050151109695435,9.306532621383667,9.928045511245728,16.65684962272644,19.24032473564148,23.584373712539673,28.451455116271973,30.615599870681763,34.90486168861389,35.633217573165894,37.24122953414917,,,,,,,,,
105,0,6.162264108657837,6.7947163581848145,13.25642728805542,16.185156106948853,17.85045337677002,30.728535890579224,35.359572887420654,44.17973184585571,46.311925649642944,48.14393401145935,52.3363242149353,,,,,,,,,
106,0,,,,,,,,,,,,,,,,,,,,
107,0,42.71333861351013,,,,,,,,,,,,,,,,,,,
108,0,14.008138418197632,15.042585372924805,17.67390465736389,18.832817554473877,48.504640340805054,53.3603196144104,,,,,,,,,,,,,,
109,0,42.450469970703125,,,,,,,,,,,,,,,,,,,
110,0,13.40226936340332,16.32999348640442,17.17029070854187,21.420413732528687,25.394206762313843,26.624682188034058,28.025498628616333,31.38832139968872,41.968936920166016,45.61677002906799,51.992915868759155,,,,,,,,,
111,0,21.63493299484253,24.568308115005493,35.352577209472656,36.0078067779541,41.17838978767395,47.67269682884216,51.007344245910645,,,,,,,,,,,,,
112,0,7.651859283447266,8.768914222717285,18.986445903778076,33.3205041885376,34.663999795913696,38.10534191131592,47.48880195617676,,,,,,,,,,,,,
113,0,,,,,,,,,,,,,,,,,,,,
114,0,7.927706241607666,8.485002517700195,12.554507970809937,15.792895793914795,33.618263244628906,34.12810468673706,38.63533878326416,45.90458393096924,51.32063388824463,,,,,,,,,,,
115,0,6.288518905639648,6.914472579956055,10.856309652328491,11.217212438583374,13.11282992362976,17.9444420337677,24.915783882141113,30.80853843688965,37.65680956840515,44.81833529472351,47.13060927391052,47.82417607307434,47.984084129333496,,,,,,,
116,0,5.9864747524261475,9.834891080856323,10.12840223312378,15.456091165542603,15.57602071762085,16.550276279449463,18.09835386276245,19.913769245147705,23.14003896713257,23.947225332260132,26.255805730819702,28.336845874786377,28.682493448257446,30.512659549713135,35.4356164932251,36.66770935058594,37.11308789253235,37.859424352645874,41.01784420013428,44.31199789047241
117,0,10.752863883972168,41.44195342063904,53.106844425201416,,,,,,,,,,,,,,,,,
118,0,12.096864223480225,,,,,,,,,,,,,,,,,,,
119,0,21.865161180496216,35.176737546920776,,,,,,,,,,,,,,,,,,
120,0,,,,,,,,,,,,,,,,,,,,
121,0,12.802456855773926,36.24401831626892,38.825321674346924,,,,,,,,,,,,,,,,,
122,0,,,,,,,,,,,,,,,,,,,,
123,0,,,,,,,,,,,,,,,,,,,,
124,0,,,,,,,,,,,,,,,,,,,,
125,0,,,,,,,,,,,,,,,,,,,,
126,0,,,,,,,,,,,,,,,,,,,,
127,0,,,,,,,,,,,,,,,,,,,,
128,0,,,,,,,,,,,,,,,,,,,,
129,0,,,,,,,,,,,,,,,,,,,,
130,0,,,,,,,,,,,,,,,,,,,,
131,0,,,,,,,,,,,,,,,,,,,,
132,0,,,,,,,,,,,,,,,,,,,,
133,0,,,,,,,,,,,,,,,,,,,,
134,0,,,,,,,,,,,,,,,,,,,,
135,0,,,,,,,,,,,,,,,,,,,,
136,0,,,,,,,,,,,,,,,,,,,,
137,0,,,,,,,,,,,,,,,,,,,,
138,0,,,,,,,,,,,,,,,,,,,,
139,0,,,,,,,,,,,,,,,,,,,,
140,0,,,,,,,,,,,,,,,,,,,,
141,0,,,,,,,,,,,,,,,,,,,,
142,0,,,,,,,,,,,,,,,,,,,,
143,0,,,,,,,,,,,,,,,,,,,,
144,0,,,,,,,,,,,,,,,,,,,,
145,0,,,,,,,,,,,,,,,,,,,,
146,0,,,,,,,,,,,,,,,,,,,,
147,0,,,,,,,,,,,,,,,,,,,,
148,0,,,,,,,,,,,,,,,,,,,,
149,0,,,,,,,,,,,,,,,,,,,,
150,0,,,,,,,,,,,,,,,,,,,,
151,0,,,,,,,,,,,,,,,,,,,,
152,0,,,,,,,,,,,,,,,,,,,,
153,0,,,,,,,,,,,,,,,,,,,,
154,0,,,,,,,,,,,,,,,,,,,,
155,0,,,,,,,,,,,,,,,,,,,,
156,0,,,,,,,,,,,,,,,,,,,,
157,0,,,,,,,,,,,,,,,,,,,,
158,0,,,,,,,,,,,,,,,,,,,,
159,0,,,,,,,,,,,,,,,,,,,,
160,0,,,,,,,,,,,,,,,,,,,,
161,0,,,,,,,,,,,,,,,,,,,,
162,0,,,,,,,,,,,,,,,,,,,,
163,0,,,,,,,,,,,,,,,,,,,,
164,0,,,,,,,,,,,,,,,,,,,,
165,0,,,,,,,,,,,,,,,,,,,,
166,0,,,,,,,,,,,,,,,,,,,,
167,0,,,,,,,,,,,,,,,,,,,,
168,0,,,,,,,,,,,,,,,,,,,,
169,0,,,,,,,,,,,,,,,,,,,,
170,0,,,,,,,,,,,,,,,,,,,,
171,0,,,,,,,,,,,,,,,,,,,,
172,0,,,,,,,,,,,,,,,,,,,,
173,0,,,,,,,,,,,,,,,,,,,,
174,0,,,,,,,,,,,,,,,,,,,,
175,0,,,,,,,,,,,,,,,,,,,,
176,0,,,,,,,,,,,,,,,,,,,,
177,0,,,,,,,,,,,,,,,,,,,,
178,0,,,,,,,,,,,,,,,,,,,,
179,0,,,,,,,,,,,,,,,,,,,,
180,0,,,,,,,,,,,,,,,,,,,,
181,0,,,,,,,,,,,,,,,,,,,,
182,0,,,,,,,,,,,,,,,,,,,,
183,0,,,,,,,,,,,,,,,,,,,,
184,0,,,,,,,,,,,,,,,,,,,,
185,0,,,,,,,,,,,,,,,,,,,,
186,0,,,,,,,,,,,,,,,,,,,,
187,0,,,,,,,,,,,,,,,,,,,,
188,0,,,,,,,,,,,,,,,,,,,,
189,0,,,,,,,,,,,,,,,,,,,,
190,0,,,,,,,,,,,,,,,,,,,,
191,0,,,,,,,,,,,,,,,,,,,,
192,0,,,,,,,,,,,,,,,,,,,,
193,0,,,,,,,,,,,,,,,,,,,,
194,0,,,,,,,,,,,,,,,,,,,,
195,0,,,,,,,,,,,,,,,,,,,,
196,0,,,,,,,,,,,,,,,,,,,,
197,0,,,,,,,,,,,,,,,,,,,,
198,0,,,,,,,,,,,,,,,,,,,,
199,0,,,,,,,,,,,,,,,,,,,,
200,0,,,,,,,,,,,,,,,,,,,,
201,0,,,,,,,,,,,,,,,,,,,,
202,0,,,,,,,,,,,,,,,,,,,,
203,0,,,,,,,,,,,,,,,,,,,,
204,0,,,,,,,,,,,,,,,,,,,,
205,0,,,,,,,,,,,,,,,,,,,,
206,0,,,,,,,,,,,,,,,,,,,,
207,0,,,,,,,,,,,,,,,,,,,,
208,0,,,,,,,,,,,,,,,,,,,,
209,0,,,,,,,,,,,,,,,,,,,,
210,0,,,,,,,,,,,,,,,,,,,,
211,0,,,,,,,,,,,,,,,,,,,,
212,0,,,,,,,,,,,,,,,,,,,,
213,0,,,,,,,,,,,,,,,,,,,,
214,0,,,,,,,,,,,,,,,,,,,,
215,0,,,,,,,,,,,,,,,,,,,,
216,0,,,,,,,,,,,,,,,,,,,,
217,0,,,,,,,,,,,,,,,,,,,,
218,0,,,,,,,,,,,,,,,,,,,,
219,0,,,,,,,,,,,,,,,,,,,,
220,0,,,,,,,,,,,,,,,,,,,,
221,0,,,,,,,,,,,,,,,,,,,,
222,0,,,,,,,,,,,,,,,,,,,,
223,0,,,,,,,,,,,,,,,,,,,,
224,0,,,,,,,,,,,,,,,,,,,,
225,0,,,,,,,,,,,,,,,,,,,,
226,0,,,,,,,,,,,,,,,,,,,,
227,0,,,,,,,,,,,,,,,,,,,,
228,0,,,,,,,,,,,,,,,,,,,,
229,0,,,,,,,,,,,,,,,,,,,,
230,0,,,,,,,,,,,,,,,,,,,,
231,0,,,,,,,,,,,,,,,,,,,,
232,0,,,,,,,,,,,,,,,,,,,,
233,0,,,,,,,,,,,,,,,,,,,,
234,0,,,,,,,,,,,,,,,,,,,,
235,0,,,,,,,,,,,,,,,,,,,,
236,0,,,,,,,,,,,,,,,,,,,,
237,0,,,,,,,,,,,,,,,,,,,,
238,0,,,,,,,,,,,,,,,,,,,,
239,0,,,,,,,,,,,,,,,,,,,,
240,0,,,,,,,,,,,,,,,,,,,,
241,0,,,,,,,,,,,,,,,,,,,,
242,0,,,,,,,,,,,,,,,,,,,,
243,0,,,,,,,,,,,,,,,,,,,,
244,0,,,,,,,,,,,,,,,,,,,,
245,0,,,,,,,,,,,,,,,,,,,,
246,0,,,,,,,,,,,,,,,,,,,,
247,0,,,,,,,,,,,,,,,,,,,,
248,0,,,,,,,,,,,,,,,,,,,,
249,0,,,,,,,,,,,,,,,,,,,,
250,0,,,,,,,,,,,,,,,,,,,,
251,0,,,,,,,,,,,,,,,,,,,,
252,0,,,,,,,,,,,,,,,,,,,,
253,0,,,,,,,,,,,,,,,,,,,,
254,0,,,,,,,,,,,,,,,,,,,,
255,0,,,,,,,,,,,,,,,,,,,,
